iter	RMSE
0	1279.333571
1	1224.011338
2	1172.28459
3	1126.341135
4	1082.266321
5	1040.770554
6	1003.681347
7	969.4505342
8	936.6686619
9	907.51087
10	879.8158028
11	854.1654763
12	831.1836689
13	809.3715464
14	790.24191
15	772.9734928
16	756.4154141
17	742.1988324
18	728.9380885
19	716.3589781
20	705.9676531
21	695.7316671
22	686.8980346
23	678.6529395
24	671.5964168
25	664.5009031
26	658.4174037
27	653.1188506
28	647.9742877
29	643.4455407
30	639.5091952
31	635.6465623
32	632.2455497
33	629.4606045
34	626.3860725
35	623.8506232
36	621.6221267
37	619.5824152
38	617.4610926
39	615.7030035
40	614.0812348
41	612.356978
42	610.9247766
43	609.6869205
44	608.612903
45	607.663583
46	606.6870335
47	605.7337185
48	604.8621378
49	604.0036259
50	603.2434996
51	602.4972291
52	601.7260621
53	601.0113499
54	600.4723107
55	599.8693304
56	599.4311712
57	598.8733329
58	598.4430688
59	598.0250458
60	597.5831069
61	597.2260058
62	596.9403251
63	596.4948561
64	596.2092027
65	595.7691021
66	595.4818144
67	595.2455702
68	595.0505181
69	594.8941764
70	594.6355968
71	594.4747819
72	594.1722937
73	593.9150031
74	593.7182903
75	593.34128
76	593.1128903
77	592.8733584
78	592.653267
79	592.4630552
80	592.1501806
81	592.002458
82	591.86337
83	591.7002086
84	591.3829472
85	591.0964046
86	590.9835961
87	590.8897823
88	590.7135048
89	590.4931307
90	590.2926856
91	590.1135526
92	589.9559951
93	589.832003
94	589.6691478
95	589.55197
96	589.4301004
97	589.3921178
98	589.260973
99	589.1133667
100	588.9461355
101	588.8681968
102	588.7962697
103	588.7141699
104	588.5089702
105	588.4238382
106	588.2599766
107	588.1081499
108	587.9701482
109	587.7896748
110	587.6488659
111	587.5151271
112	587.4104776
113	587.3004484
114	587.2334068
115	587.0890097
116	586.9917293
117	586.8856101
118	586.7512962
119	586.6768642
120	586.5318336
121	586.439693
122	586.3584374
123	586.303452
124	586.1967554
125	586.0656208
126	585.9213186
127	585.7072163
128	585.6419197
129	585.5938456
130	585.4960862
131	585.3618425
132	585.3162203
133	585.2556241
134	585.0963603
135	584.931458
136	584.8398916
137	584.6037903
138	584.5418276
139	584.5109013
140	584.3409775
141	584.1640676
142	584.0415273
143	583.8895399
144	583.6759435
145	583.4720389
146	583.1925175
147	582.9817059
148	582.9013847
149	582.7982056
150	582.6434849
151	582.5687539
152	582.3683733
153	582.1579714
154	582.1187219
155	582.0898674
156	582.008782
157	581.8531551
158	581.7725439
159	581.6170232
160	581.5066124
161	581.3753421
162	581.3000262
163	581.2300306
164	581.1936568
165	581.0077374
166	580.9146823
167	580.7927557
168	580.7265533
169	580.6621433
170	580.6462293
171	580.622891
172	580.5020586
173	580.398241
174	580.1500862
175	580.0338111
176	579.9614684
177	579.8337073
178	579.6659814
179	579.6317298
180	579.5082909
181	579.4013583
182	579.2226228
183	579.0667228
184	579.0024954
185	578.8831942
186	578.7872768
187	578.6977526
188	578.500739
189	578.3581199
190	578.2241324
191	578.067966
192	577.9613984
193	577.7802357
194	577.6427041
195	577.5528896
196	577.4391989
197	577.3312746
198	577.1949668
199	577.076958
200	576.9424792
201	576.8349479
202	576.760158
203	576.6633957
204	576.4963398
205	576.389826
206	576.2805781
207	576.1779525
208	576.0854019
209	575.9627813
210	575.8886861
211	575.8445376
212	575.7112649
213	575.5232579
214	575.3469511
215	575.2422762
216	575.1156972
217	575.0200903
218	574.8891227
219	574.8210265
220	574.7346026
221	574.6326972
222	574.4560088
223	574.3849912
224	574.2620619
225	574.1065318
226	573.9898736
227	573.8571338
228	573.7310244
229	573.6364372
230	573.6295163
231	573.464148
232	573.3638836
233	573.1632178
234	573.0530898
235	572.9551765
236	572.8909998
237	572.7926842
238	572.6951918
239	572.4824504
240	572.3981589
241	572.3523745
242	572.2461852
243	572.1574462
244	572.0336026
245	571.8795336
246	571.8342902
247	571.7931151
248	571.6287962
249	571.5464365
250	571.4411463
251	571.2857425
252	571.1043086
253	571.006181
254	570.8889135
255	570.736513
256	570.6855168
257	570.5937689
258	570.5870115
259	570.4522604
260	570.3284072
261	570.1762709
262	570.0366829
263	569.9543454
264	569.8055604
265	569.6907254
266	569.6334908
267	569.5318179
268	569.4372361
269	569.4317124
270	569.2689983
271	569.1194069
272	568.9838047
273	568.8854091
274	568.8792458
275	568.7041408
276	568.6272262
277	568.5824183
278	568.4599553
279	568.3527471
280	568.2662431
281	568.1519336
282	568.0365414
283	567.8978989
284	567.8070879
285	567.7197933
286	567.6557439
287	567.5329053
288	567.4642041
289	567.2927985
290	567.2235443
291	567.1376032
292	567.0480288
293	566.9446659
294	566.8383992
295	566.7406513
296	566.6750367
297	566.5706219
298	566.4572888
299	566.2900123
300	566.1686094
301	566.1159166
302	566.0317758
303	565.9454048
304	565.8607992
305	565.7859913
306	565.7297566
307	565.6725928
308	565.5956454
309	565.4409487
310	565.3193764
311	565.1454771
312	565.0700463
313	564.9784966
314	564.9359254
315	564.9149272
316	564.7880967
317	564.7745044
318	564.68807
319	564.5494145
320	564.4665089
321	564.3547867
322	564.204612
323	564.1501509
324	564.081723
325	563.974358
326	563.9158561
327	563.7681125
328	563.7561686
329	563.6896079
330	563.5536063
331	563.457953
332	563.4080039
333	563.3784772
334	563.2255484
335	563.128208
336	563.0619323
337	562.9381715
338	562.7626184
339	562.7197916
340	562.5896071
341	562.4488101
342	562.352113
343	562.2563592
344	562.1271495
345	562.0723775
346	561.9428798
347	561.8967136
348	561.7819864
349	561.731629
350	561.6643612
351	561.5827802
352	561.472862
353	561.4218505
354	561.320972
355	561.2047443
356	561.115114
357	561.0285535
358	561.0105437
359	560.907214
360	560.7431826
361	560.6098851
362	560.5309827
363	560.444236
364	560.4084518
365	560.3192467
366	560.2786003
367	560.1412461
368	560.0442373
369	559.9852003
370	559.9427544
371	559.8438705
372	559.6805261
373	559.5727666
374	559.4830483
375	559.4393471
376	559.2905449
377	559.1406652
378	558.9884231
379	558.8546242
380	558.8044062
381	558.6832236
382	558.5534128
383	558.4904228
384	558.4445153
385	558.4362817
386	558.3971135
387	558.2530497
388	558.1523235
389	558.0139226
390	557.9664305
391	557.8551075
392	557.7754527
393	557.697531
394	557.5821943
395	557.4791492
396	557.3923688
397	557.3427712
398	557.2356942
399	557.1366871
400	556.9743095
401	556.869098
402	556.8211707
403	556.7276182
404	556.6696102
405	556.6248583
406	556.5298898
407	556.4231883
408	556.3914854
409	556.2818764
410	556.2268929
411	556.1110023
412	556.0162691
413	555.9454397
414	555.867374
415	555.8056515
416	555.7733335
417	555.5968959
418	555.4449231
419	555.3521478
420	555.3159749
421	555.1776935
422	555.066104
423	554.8944007
424	554.7650413
425	554.6938172
426	554.5733438
427	554.4788837
428	554.4413029
429	554.30558
430	554.1657738
431	554.0617365
432	553.9737654
433	553.8456054
434	553.7668712
435	553.6865557
436	553.6115408
437	553.5269405
438	553.5164263
439	553.4392023
440	553.3471347
441	553.2057529
442	553.1776318
443	553.140424
444	553.0664073
445	553.0086048
446	552.8680603
447	552.8099887
448	552.6904578
449	552.5774881
450	552.5005029
451	552.3952318
452	552.2941783
453	552.1947272
454	552.1386137
455	552.1007018
456	552.0138925
457	551.8898055
458	551.7790842
459	551.6664116
460	551.6632691
461	551.605985
462	551.5366828
463	551.497764
464	551.3967126
465	551.3283768
466	551.3084529
467	551.2648805
468	551.2453906
469	551.2074888
470	551.0998303
471	551.0427108
472	551.0387014
473	550.9216604
474	550.860846
475	550.7604327
476	550.7566757
477	550.6247303
478	550.5015253
479	550.4381261
480	550.3094359
481	550.2050559
482	550.0537847
483	549.9660165
484	549.8787112
485	549.7925172
486	549.6641933
487	549.583163
488	549.5109307
489	549.3973784
490	549.3224453
491	549.1905284
492	549.1083133
493	549.0315059
494	548.9133612
495	548.8596517
496	548.8120869
497	548.7354588
498	548.6238771
499	548.5414655
500	548.4589204
501	548.3942533
502	548.3154606
503	548.2592436
504	548.1694845
505	548.1220158
506	548.0777212
507	547.9408501
508	547.8365508
509	547.7678783
510	547.7039437
511	547.6095974
512	547.5409342
513	547.4887282
514	547.4291789
515	547.3665685
516	547.3641099
517	547.2661802
518	547.1425846
519	547.0245854
520	546.931174
521	546.8233124
522	546.7876995
523	546.678657
524	546.5918711
525	546.5303047
526	546.4723735
527	546.3618091
528	546.3339241
529	546.1498512
530	546.1163931
531	546.0072458
532	545.8443249
533	545.7599456
534	545.7182136
535	545.672132
536	545.5956545
537	545.4749763
538	545.3515847
539	545.2965415
540	545.1860944
541	545.1488004
542	545.1123568
543	545.0290554
544	544.9871351
545	544.9395412
546	544.8367887
547	544.7837952
548	544.7320246
549	544.6026146
550	544.5462861
551	544.4350876
552	544.3682326
553	544.2610506
554	544.2359764
555	544.1344286
556	544.0461204
557	544.0038743
558	543.9157552
559	543.8625538
560	543.7793733
561	543.7153765
562	543.5894317
563	543.4836277
564	543.4066542
565	543.3260206
566	543.2660027
567	543.2103067
568	543.147161
569	543.0613143
570	542.9560742
571	542.8717381
572	542.7627565
573	542.6913869
574	542.6080668
575	542.4905589
576	542.4437942
577	542.3734261
578	542.3217595
579	542.2600339
580	542.1788587
581	542.0981742
582	542.0536238
583	541.9243101
584	541.8313186
585	541.7606162
586	541.6801109
587	541.5390269
588	541.4850281
589	541.4316952
590	541.2978767
591	541.1792082
592	541.1289942
593	541.0545675
594	540.9591975
595	540.8572658
596	540.751076
597	540.6813824
598	540.5913206
599	540.5558119
600	540.4918682
601	540.3945095
602	540.3237593
603	540.2325124
604	540.1470274
605	540.0593852
606	539.9670735
607	539.8731685
608	539.7790068
609	539.6750312
610	539.5326217
611	539.4535255
612	539.4277268
613	539.3727234
614	539.3261875
615	539.2477743
616	539.1561153
617	539.0887751
618	539.0119643
619	538.9894035
620	538.9401592
621	538.8875622
622	538.814032
623	538.7510027
624	538.6517338
625	538.5853301
626	538.5146136
627	538.3770781
628	538.2487994
629	538.1879174
630	538.126627
631	538.0785723
632	538.0359783
633	537.9615658
634	537.8923091
635	537.8332835
636	537.7436174
637	537.6626498
638	537.5879999
639	537.5083027
640	537.4717401
641	537.3910892
642	537.3501998
643	537.298023
644	537.232282
645	537.1630515
646	537.1280524
647	537.0398776
648	536.9460037
649	536.9095566
650	536.8143885
651	536.7337772
652	536.6900217
653	536.6116426
654	536.559467
655	536.5016554
656	536.4394963
657	536.3508556
658	536.2829331
659	536.2165704
660	536.1718291
661	536.0908112
662	536.0194693
663	535.9014801
664	535.8105204
665	535.7206475
666	535.6931311
667	535.5695659
668	535.5423261
669	535.494569
670	535.4282569
671	535.3294941
672	535.2524421
673	535.1432691
674	535.0793117
675	535.0228051
676	534.9879726
677	534.8890404
678	534.8230226
679	534.7363378
680	534.6783252
681	534.607404
682	534.5175758
683	534.4584104
684	534.3684074
685	534.3665616
686	534.3158678
687	534.263194
688	534.2035527
689	534.1532258
690	534.0829331
691	534.0617561
692	534.0296353
693	533.9759615
694	533.903922
695	533.8428822
696	533.7925553
697	533.7498391
698	533.6857742
699	533.5865248
700	533.5043665
701	533.4664775
702	533.4034588
703	533.310221
704	533.2549477
705	533.1630751
706	533.0858916
707	532.9994406
708	532.9202698
709	532.8206375
710	532.7497905
711	532.7067465
712	532.5960313
713	532.5276373
714	532.4746164
715	532.386895
716	532.2951218
717	532.240912
718	532.1866597
719	532.1061705
720	531.9765268
721	531.8832318
722	531.8439286
723	531.7958362
724	531.6988792
725	531.6479305
726	531.604163
727	531.5169178
728	531.4735356
729	531.3880743
730	531.2941334
731	531.2233781
732	531.1286163
733	531.0158966
734	530.9750096
735	530.927917
736	530.902012
737	530.8545179
738	530.7851538
739	530.7247813
740	530.6345192
741	530.5898721
742	530.4786477
743	530.4101701
744	530.3455565
745	530.3131115
746	530.2305968
747	530.2061205
748	530.1655551
749	530.0651223
750	530.0060554
751	529.9917287
752	529.8880453
753	529.805801
754	529.7789398
755	529.7085405
756	529.6592634
757	529.6100266
758	529.5411059
759	529.4298205
760	529.3419194
761	529.2688132
762	529.2333644
763	529.1813184
764	529.098346
765	529.0022821
766	528.9536714
767	528.8827217
768	528.8266272
769	528.7826414
770	528.7126923
771	528.6671711
772	528.5519528
773	528.4898817
774	528.440724
775	528.4044556
776	528.3422
777	528.2844082
778	528.1620983
779	528.1606273
780	528.078823
781	528.0095915
782	527.9077488
783	527.8297708
784	527.7728162
785	527.7072851
786	527.6231572
787	527.554467
788	527.4703737
789	527.391354
790	527.3235677
791	527.3057056
792	527.2617351
793	527.1874074
794	527.063708
795	527.0050631
796	526.9511277
797	526.9267303
798	526.8702136
799	526.7830102
800	526.7150052
801	526.653996
802	526.594434
803	526.4938016
804	526.4311795
805	526.3626365
806	526.361673
807	526.2989481
808	526.2302201
809	526.1132583
810	526.0818628
811	526.0224445
812	525.9270768
813	525.8627124
814	525.7667751
815	525.7186633
816	525.6727062
817	525.6166358
818	525.528506
819	525.4563547
820	525.3415057
821	525.2827976
822	525.2152715
823	525.1028864
824	525.0369431
825	524.9926934
826	524.9438502
827	524.8550145
828	524.7641492
829	524.6845284
830	524.6340573
831	524.5510999
832	524.5062858
833	524.4753678
834	524.450928
835	524.4491846
836	524.4045203
837	524.4032881
838	524.3095684
839	524.2488987
840	524.1684578
841	524.0859194
842	523.9882958
843	523.9047666
844	523.8648801
845	523.8163797
846	523.748006
847	523.6833592
848	523.6237875
849	523.5604337
850	523.4493085
851	523.3877819
852	523.2890595
853	523.2602204
854	523.2023652
855	523.1409055
856	523.0783773
857	523.0276232
858	523.0266065
859	522.9444179
860	522.8928806
861	522.7253289
862	522.7242141
863	522.6444246
864	522.5492672
865	522.4563735
866	522.4185893
867	522.3650581
868	522.3632697
869	522.2611651
870	522.1993176
871	522.1444126
872	522.0854457
873	522.0418063
874	521.9558005
875	521.8740718
876	521.8287168
877	521.7888226
878	521.7163383
879	521.6769909
880	521.6506801
881	521.5975566
882	521.5962921
883	521.5905358
884	521.5397592
885	521.4851476
886	521.4144791
887	521.3389546
888	521.2958805
889	521.2943035
890	521.2258025
891	521.2253452
892	521.1909231
