iter	Passed	Remaining
0	27	2691
1	37	1850
2	45	1460
3	50	1223
4	55	1062
5	60	948
6	64	863
7	69	797
8	73	747
9	76	688
10	80	654
11	85	626
12	89	601
13	94	581
14	99	561
15	103	544
16	108	527
17	112	512
18	117	499
19	121	485
20	125	472
21	129	460
22	133	448
23	139	440
24	143	430
25	147	419
26	151	410
27	155	400
28	159	391
29	164	382
30	168	374
31	172	366
32	176	358
33	180	350
34	184	343
35	189	336
36	193	329
37	197	322
38	201	315
39	205	308
40	210	302
41	214	295
42	218	289
43	222	283
44	226	277
45	230	271
46	234	264
47	239	259
48	243	253
49	245	245
50	249	239
51	253	234
52	257	228
53	262	223
54	266	217
55	270	212
56	274	207
57	278	201
58	282	196
59	287	191
60	291	186
61	295	181
62	299	176
63	304	171
64	308	165
65	312	160
66	314	154
67	315	148
68	319	143
69	324	138
70	328	134
71	332	129
72	336	124
73	340	119
74	344	114
75	349	110
76	353	105
77	357	100
78	361	96
79	365	91
80	369	86
81	373	82
82	377	77
83	382	72
84	386	68
85	388	63
86	392	58
87	397	54
88	402	49
89	406	45
90	407	40
91	412	35
92	416	31
93	420	26
94	424	22
95	428	17
96	432	13
97	437	8
98	441	4
99	445	0
