iter	RMSE
0	1278.918946
1	1223.958675
2	1173.536314
3	1126.239385
4	1083.160643
5	1041.805392
6	1003.88708
7	969.1368473
8	936.0393391
9	906.2980631
10	879.1295372
11	853.6714937
12	830.9494802
13	809.7168507
14	790.3540468
15	772.1604169
16	756.2031084
17	741.3230222
18	728.6836784
19	716.1046751
20	705.3513852
21	695.1030264
22	685.9866557
23	677.5999025
24	670.6502133
25	663.9407946
26	657.7059434
27	652.5098481
28	647.4695337
29	643.081399
30	639.4091656
31	635.7039867
32	632.1804876
33	628.8533584
34	625.8122342
35	623.3623622
36	621.1879466
37	618.7816724
38	616.6348661
39	614.7723968
40	612.8515896
41	611.181582
42	609.6541751
43	608.4752765
44	607.1959974
45	606.1105846
46	605.1242559
47	604.1392612
48	603.3581279
49	602.5156131
50	601.8968375
51	601.200687
52	600.6604512
53	600.0986959
54	599.5868775
55	599.0750358
56	598.6223995
57	598.0931034
58	597.7716491
59	597.3758934
60	597.061642
61	596.6228571
62	596.5128656
63	596.1882572
64	595.924751
65	595.7538608
66	595.5837144
67	595.174636
68	594.9054543
69	594.4309264
70	594.2158404
71	594.0937718
72	593.8200899
73	593.5948342
74	593.3331341
75	593.1773429
76	593.0322618
77	592.8643761
78	592.6281516
79	592.4201759
80	592.2245498
81	591.9186167
82	591.7745221
83	591.6827412
84	591.551694
85	591.4155072
86	591.2634745
87	591.1699161
88	591.0270145
89	590.7689619
90	590.4758282
91	590.4005314
92	590.2567598
93	590.0911342
94	589.7726749
95	589.4821214
96	589.2464085
97	589.1008182
98	588.9927725
99	588.856531
100	588.7203835
101	588.5465085
102	588.3290398
103	588.2112359
104	588.152489
105	587.9784681
106	587.8374353
107	587.7709828
108	587.6282048
109	587.4701929
110	587.2997087
111	587.1320218
112	587.0189267
113	586.8497232
114	586.7225041
115	586.6950778
116	586.5594939
117	586.4675566
118	586.2559108
119	586.1909366
120	586.1073031
121	586.0209435
122	585.9202398
123	585.7595097
124	585.662323
125	585.5309395
126	585.2883759
127	585.1977931
128	585.1366677
129	584.9780545
130	584.8588786
131	584.8149329
132	584.7312532
133	584.7165493
134	584.6754003
135	584.5737995
136	584.4925583
137	584.3474133
138	584.1401845
139	584.0783387
140	583.9578061
141	583.8171785
142	583.7095484
143	583.6308785
144	583.5054605
145	583.444422
146	583.3438446
147	583.2951257
148	583.1361724
149	583.0337457
150	582.9499878
151	582.9124653
152	582.882929
153	582.7215594
154	582.6563557
155	582.5782652
156	582.353709
157	582.1960934
158	582.1257626
159	582.0445977
160	581.9600203
161	581.8534438
162	581.733937
163	581.6824658
164	581.5965448
165	581.3700105
166	581.3073783
167	581.2526983
168	581.1359711
169	581.1083159
170	580.8688576
171	580.7498934
172	580.642229
173	580.4818997
174	580.2926364
175	580.1134376
176	580.070834
177	579.9300121
178	579.8284799
179	579.6768553
180	579.5160512
181	579.3996229
182	579.2980045
183	579.203033
184	579.0419924
185	578.9361657
186	578.7619233
187	578.6087405
188	578.4659704
189	578.2848619
190	578.1842941
191	578.0576934
192	577.9634123
193	577.8138539
194	577.7875039
195	577.7094671
196	577.6035368
197	577.4500847
198	577.3182368
199	577.1935312
200	577.063945
201	576.9394335
202	576.8241393
203	576.6929677
204	576.5126269
205	576.4298123
206	576.3143339
207	576.1831276
208	576.0964593
209	575.9791582
210	575.8656852
211	575.7026061
212	575.5098955
213	575.3366639
214	575.2143014
215	575.049968
216	574.8795714
217	574.7070257
218	574.5604685
219	574.4770851
220	574.3707331
221	574.2967889
222	574.1450748
223	573.9917677
224	573.8437332
225	573.7062632
226	573.6020053
227	573.5538976
228	573.4457247
229	573.3103358
230	573.1719629
231	573.0664139
232	572.9606707
233	572.8061994
234	572.6374812
235	572.5416812
236	572.4243018
237	572.3510193
238	572.2212461
239	572.1229719
240	571.9987503
241	571.8543968
242	571.7562638
243	571.5850583
244	571.4965492
245	571.4732846
246	571.3637099
247	571.1943826
248	571.1734834
249	571.0878782
250	571.0169566
251	570.9646781
