iter	Passed	Remaining
0	3	3718
1	7	3923
2	11	3722
3	14	3681
4	18	3617
5	22	3794
6	26	3753
7	30	3723
8	33	3669
9	37	3718
10	40	3666
11	43	3619
12	47	3589
13	51	3607
14	54	3607
15	58	3582
16	61	3568
17	64	3534
18	68	3543
19	71	3520
20	75	3498
21	78	3481
22	81	3466
23	85	3470
24	88	3470
25	92	3452
26	95	3440
27	99	3470
28	103	3450
29	106	3431
30	109	3419
31	112	3407
32	116	3422
33	120	3416
34	123	3404
35	126	3384
36	129	3371
37	132	3365
38	136	3357
39	139	3341
40	142	3327
41	145	3317
42	148	3308
43	151	3298
44	155	3300
45	158	3289
46	161	3282
47	167	3312
48	171	3322
49	174	3315
50	178	3322
51	182	3324
52	185	3312
53	188	3303
54	191	3293
55	195	3295
56	198	3290
57	202	3287
58	205	3275
59	208	3268
60	212	3266
61	215	3263
62	217	3240
63	220	3230
64	224	3226
65	227	3223
66	230	3212
67	233	3205
68	236	3196
69	240	3190
70	243	3183
71	246	3174
72	249	3166
73	252	3162
74	256	3160
75	259	3154
76	263	3157
77	266	3154
78	270	3151
79	274	3156
80	277	3148
81	280	3142
82	283	3135
83	286	3128
84	289	3118
85	292	3109
86	295	3098
87	298	3092
88	301	3085
89	304	3081
90	308	3082
91	311	3073
92	315	3072
93	318	3067
94	321	3065
95	325	3060
96	328	3054
97	331	3050
98	334	3045
99	337	3038
100	340	3031
101	344	3029
102	347	3025
103	350	3022
104	354	3018
105	357	3012
106	360	3005
107	363	2999
108	366	2994
109	369	2989
110	373	2988
111	376	2981
112	378	2974
113	381	2967
114	384	2960
115	387	2952
116	406	3064
117	408	3057
118	412	3050
119	415	3048
120	419	3044
121	421	3036
122	425	3030
123	428	3025
124	431	3022
125	435	3018
126	439	3019
127	442	3013
128	445	3008
129	449	3008
130	452	3003
131	455	2996
132	458	2988
133	461	2981
134	464	2978
135	468	2976
136	471	2971
137	474	2966
138	478	2963
139	481	2959
140	484	2954
141	488	2949
142	491	2943
143	494	2940
144	497	2935
145	500	2929
146	503	2924
147	506	2918
148	510	2916
149	513	2911
150	516	2905
151	519	2898
152	522	2891
153	525	2887
154	528	2882
155	531	2875
156	534	2869
157	537	2864
158	540	2861
159	544	2860
160	547	2855
161	550	2849
162	553	2843
163	556	2838
164	559	2833
165	563	2830
166	566	2827
167	569	2821
168	573	2818
169	576	2815
170	579	2809
171	582	2803
172	585	2798
173	588	2795
174	592	2792
175	595	2787
176	598	2780
177	601	2776
178	604	2772
179	607	2769
180	610	2764
181	614	2760
182	617	2755
183	621	2756
184	626	2758
185	629	2754
186	632	2751
187	636	2750
188	639	2745
189	642	2740
190	645	2735
191	648	2730
192	652	2728
193	655	2723
194	658	2718
195	661	2713
196	664	2707
197	668	2705
198	671	2703
199	674	2699
200	678	2695
201	681	2692
202	685	2691
203	688	2686
204	691	2681
205	694	2675
206	697	2671
207	701	2669
208	704	2665
209	707	2660
210	710	2655
211	713	2652
212	717	2650
213	720	2645
214	723	2640
215	726	2635
216	729	2630
217	732	2628
218	735	2623
219	738	2617
220	741	2612
221	744	2610
222	748	2608
223	751	2603
224	754	2599
225	757	2595
226	761	2592
227	764	2589
228	768	2586
229	771	2582
230	774	2578
231	778	2577
232	781	2573
233	784	2569
234	787	2564
235	790	2560
236	794	2559
237	798	2555
238	801	2551
239	804	2548
240	807	2544
241	811	2541
242	814	2537
243	817	2533
244	820	2528
245	823	2524
246	828	2525
247	831	2522
248	835	2518
249	838	2516
250	843	2515
251	846	2513
252	849	2508
253	853	2505
254	856	2501
255	860	2500
256	863	2497
257	866	2493
258	870	2489
259	874	2488
260	877	2484
261	880	2480
262	883	2476
263	886	2472
264	890	2470
265	893	2466
266	897	2462
267	900	2458
268	903	2455
269	907	2452
270	910	2449
271	913	2445
272	916	2441
273	920	2439
274	923	2435
275	927	2432
276	930	2427
277	933	2423
278	936	2421
279	940	2417
280	943	2413
281	946	2409
282	949	2404
283	952	2402
284	956	2398
285	959	2394
286	962	2390
287	965	2386
288	968	2383
289	972	2380
290	975	2377
291	978	2372
292	981	2368
293	985	2366
294	988	2362
295	991	2358
296	994	2353
297	997	2349
298	1001	2346
299	1004	2343
300	1007	2338
301	1010	2334
302	1013	2330
303	1016	2327
304	1019	2323
305	1022	2318
306	1025	2315
307	1029	2312
308	1032	2309
309	1035	2305
310	1039	2302
311	1042	2298
312	1045	2294
313	1049	2292
314	1052	2287
315	1055	2284
316	1058	2280
317	1061	2277
318	1065	2273
319	1068	2271
320	1072	2267
321	1075	2263
322	1079	2261
323	1082	2258
324	1085	2254
325	1088	2250
326	1091	2246
327	1096	2246
328	1099	2242
329	1103	2239
330	1106	2237
331	1111	2235
332	1114	2232
333	1117	2228
334	1120	2224
335	1123	2221
336	1127	2218
337	1130	2214
338	1134	2211
339	1137	2207
340	1140	2203
341	1143	2200
342	1146	2196
343	1149	2192
344	1153	2189
345	1156	2186
346	1160	2182
347	1163	2179
348	1166	2175
349	1169	2171
350	1172	2168
351	1176	2166
352	1180	2163
353	1183	2159
354	1186	2156
355	1190	2153
356	1193	2149
357	1196	2145
358	1199	2141
359	1202	2137
360	1206	2135
361	1209	2131
362	1212	2127
363	1215	2124
364	1219	2121
365	1223	2118
366	1226	2115
367	1229	2111
368	1232	2107
369	1236	2105
370	1239	2101
371	1242	2097
372	1245	2094
373	1248	2090
374	1252	2088
375	1256	2084
376	1259	2080
377	1262	2076
378	1265	2072
379	1268	2070
380	1272	2067
381	1275	2063
382	1278	2060
383	1282	2056
384	1285	2053
385	1289	2050
386	1292	2046
387	1295	2042
388	1298	2039
389	1301	2036
390	1305	2032
391	1308	2029
392	1311	2025
393	1315	2022
394	1318	2019
395	1321	2015
396	1324	2012
397	1328	2008
398	1332	2006
399	1335	2002
400	1338	1999
401	1341	1995
402	1344	1991
403	1348	1989
404	1352	1987
405	1356	1983
406	1359	1980
407	1362	1977
408	1365	1973
409	1369	1970
410	1372	1966
411	1375	1963
412	1379	1960
413	1383	1957
414	1387	1955
415	1390	1951
416	1395	1951
417	1399	1948
418	1403	1945
419	1406	1942
420	1413	1943
421	1417	1941
422	1421	1938
423	1426	1938
424	1430	1935
425	1435	1933
426	1438	1930
427	1443	1929
428	1447	1927
429	1452	1925
430	1455	1922
431	1462	1923
432	1468	1923
433	1474	1922
434	1481	1923
435	1485	1921
436	1490	1919
437	1494	1917
438	1498	1914
439	1501	1911
440	1506	1909
441	1510	1907
442	1514	1904
443	1518	1901
444	1522	1898
445	1525	1895
446	1529	1892
447	1533	1889
448	1538	1888
449	1542	1885
450	1545	1881
451	1549	1878
452	1553	1876
453	1557	1872
454	1561	1870
455	1565	1867
456	1570	1865
457	1576	1865
458	1579	1862
459	1583	1859
460	1587	1856
461	1591	1853
462	1594	1849
463	1598	1846
464	1602	1843
465	1607	1841
466	1611	1838
467	1615	1836
468	1619	1834
469	1623	1830
470	1626	1827
471	1629	1823
472	1633	1820
473	1636	1816
474	1639	1812
475	1642	1808
476	1645	1804
477	1649	1801
478	1652	1797
479	1655	1793
480	1658	1789
481	1661	1785
482	1665	1782
483	1669	1779
484	1672	1775
485	1675	1771
486	1678	1767
487	1681	1764
488	1685	1760
489	1689	1757
490	1692	1754
491	1696	1752
492	1699	1748
493	1702	1744
494	1705	1740
495	1708	1736
496	1714	1734
497	1717	1731
498	1720	1727
499	1723	1723
500	1728	1721
501	1731	1717
502	1734	1713
503	1737	1709
504	1740	1705
505	1744	1702
506	1747	1699
507	1750	1695
508	1754	1692
509	1757	1688
510	1761	1685
511	1764	1681
512	1767	1677
513	1770	1673
514	1773	1670
515	1777	1666
516	1780	1663
517	1784	1660
518	1787	1656
519	1791	1653
520	1794	1649
521	1797	1645
522	1800	1642
523	1803	1638
524	1807	1635
525	1810	1631
526	1813	1627
527	1816	1624
528	1819	1620
529	1823	1617
530	1826	1613
531	1829	1609
532	1833	1606
533	1836	1603
534	1840	1599
535	1843	1595
536	1846	1592
537	1849	1588
538	1853	1585
539	1856	1581
540	1859	1577
541	1862	1574
542	1865	1570
543	1869	1566
544	1872	1563
545	1875	1559
546	1879	1556
547	1882	1552
548	1885	1548
549	1889	1545
550	1892	1542
551	1895	1538
552	1898	1534
553	1902	1531
554	1905	1527
555	1908	1524
556	1911	1520
557	1914	1516
558	1918	1513
559	1921	1509
560	1924	1506
561	1927	1502
562	1931	1498
563	1934	1495
564	1937	1491
565	1940	1487
566	1943	1484
567	1947	1481
568	1951	1478
569	1955	1474
570	1958	1471
571	1961	1467
572	1965	1464
573	1968	1460
574	1971	1457
575	1974	1453
576	1978	1450
577	1981	1446
578	1985	1443
579	1989	1440
580	1992	1436
581	1996	1433
582	1999	1430
583	2002	1426
584	2005	1422
585	2009	1419
586	2012	1416
587	2016	1412
588	2019	1408
589	2022	1405
590	2026	1402
591	2030	1399
592	2033	1395
593	2036	1391
594	2039	1387
595	2042	1384
596	2045	1381
597	2048	1377
598	2051	1373
599	2054	1369
600	2058	1366
601	2061	1362
602	2064	1359
603	2067	1355
604	2070	1351
605	2073	1348
606	2077	1345
607	2080	1341
608	2083	1337
609	2086	1333
610	2090	1331
611	2094	1327
612	2097	1323
613	2100	1320
614	2103	1316
615	2107	1313
616	2110	1310
617	2113	1306
618	2116	1302
619	2119	1299
620	2123	1295
621	2126	1292
622	2129	1288
623	2131	1284
624	2135	1281
625	2138	1277
626	2141	1274
627	2144	1270
628	2147	1266
629	2150	1263
630	2154	1259
631	2157	1256
